rowid,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year,body_mass_kg,weight_category
57,Adelie,Biscoe,39.0,17.5,186.0,4550.0,female,2008,4.55,Heavy
58,Adelie,Biscoe,40.6,18.8,193.0,4800.0,male,2008,4.8,Heavy
59,Adelie,Biscoe,36.5,16.6,181.0,3850.0,female,2008,3.85,light
60,Adelie,Biscoe,37.6,19.1,194.0,4750.0,male,2008,4.75,Heavy
61,Adelie,Biscoe,35.7,16.9,185.0,4150.0,female,2008,4.15,Heavy
62,Adelie,Biscoe,41.3,21.1,195.0,5400.0,male,2008,5.4,Heavy
63,Adelie,Biscoe,37.6,17.0,185.0,4600.0,female,2008,4.6,Heavy
64,Adelie,Biscoe,41.1,18.2,192.0,5050.0,male,2008,5.05,Heavy
65,Adelie,Biscoe,36.4,17.1,184.0,3850.0,female,2008,3.85,light
66,Adelie,Biscoe,41.6,18.0,192.0,4950.0,male,2008,4.95,Heavy
67,Adelie,Biscoe,35.5,16.2,195.0,4350.0,female,2008,4.35,Heavy
68,Adelie,Biscoe,41.1,19.1,188.0,5100.0,male,2008,5.1,Heavy
69,Adelie,Torgersen,35.9,16.6,190.0,4050.0,female,2008,4.05,Heavy
70,Adelie,Torgersen,41.8,19.4,198.0,5450.0,male,2008,5.45,Heavy
71,Adelie,Torgersen,33.5,19.0,190.0,4600.0,female,2008,4.6,Heavy
72,Adelie,Torgersen,39.7,18.4,190.0,4900.0,male,2008,4.9,Heavy
73,Adelie,Torgersen,39.6,17.2,196.0,4550.0,female,2008,4.55,Heavy
74,Adelie,Torgersen,45.8,18.9,197.0,5150.0,male,2008,5.15,Heavy
75,Adelie,Torgersen,35.5,17.5,190.0,4700.0,female,2008,4.7,Heavy
76,Adelie,Torgersen,42.8,18.5,195.0,5250.0,male,2008,5.25,Heavy
77,Adelie,Torgersen,40.9,16.8,191.0,4700.0,female,2008,4.7,Heavy
78,Adelie,Torgersen,37.2,19.4,184.0,4900.0,male,2008,4.9,Heavy
79,Adelie,Torgersen,36.2,16.1,187.0,4550.0,female,2008,4.55,Heavy
80,Adelie,Torgersen,42.1,19.1,195.0,5000.0,male,2008,5.0,Heavy
81,Adelie,Torgersen,34.6,17.2,189.0,4200.0,female,2008,4.2,Heavy
82,Adelie,Torgersen,42.9,17.6,196.0,5700.0,male,2008,5.7,Heavy
83,Adelie,Torgersen,36.7,18.8,187.0,4800.0,female,2008,4.8,Heavy
84,Adelie,Torgersen,35.1,19.4,193.0,5200.0,male,2008,5.2,Heavy
85,Adelie,Dream,37.3,17.8,191.0,4350.0,female,2008,4.35,Heavy
86,Adelie,Dream,41.3,20.3,194.0,4550.0,male,2008,4.55,Heavy
87,Adelie,Dream,36.3,19.5,190.0,4800.0,male,2008,4.8,Heavy
88,Adelie,Dream,36.9,18.6,189.0,4500.0,female,2008,4.5,Heavy
89,Adelie,Dream,38.3,19.2,189.0,4950.0,male,2008,4.95,Heavy
90,Adelie,Dream,38.9,18.8,190.0,4600.0,female,2008,4.6,Heavy
91,Adelie,Dream,35.7,18.0,202.0,4550.0,female,2008,4.55,Heavy
92,Adelie,Dream,41.1,18.1,205.0,5300.0,male,2008,5.3,Heavy
93,Adelie,Dream,34.0,17.1,185.0,4400.0,female,2008,4.4,Heavy
94,Adelie,Dream,39.6,18.1,186.0,5450.0,male,2008,5.45,Heavy
95,Adelie,Dream,36.2,17.3,187.0,4300.0,female,2008,4.3,Heavy
96,Adelie,Dream,40.8,18.9,208.0,5300.0,male,2008,5.3,Heavy
97,Adelie,Dream,38.1,18.6,190.0,4700.0,female,2008,4.7,Heavy
98,Adelie,Dream,40.3,18.5,196.0,5350.0,male,2008,5.35,Heavy
99,Adelie,Dream,33.1,16.1,178.0,3900.0,female,2008,3.9,light
100,Adelie,Dream,43.2,18.5,192.0,5100.0,male,2008,5.1,Heavy
101,Adelie,Biscoe,35.0,17.9,192.0,4725.0,female,2009,4.725,Heavy
102,Adelie,Biscoe,41.0,20.0,203.0,5725.0,male,2009,5.725,Heavy
103,Adelie,Biscoe,37.7,16.0,183.0,4075.0,female,2009,4.075,Heavy
104,Adelie,Biscoe,37.8,20.0,190.0,5250.0,male,2009,5.25,Heavy
105,Adelie,Biscoe,37.9,18.6,193.0,3925.0,female,2009,3.925,light
106,Adelie,Biscoe,39.7,18.9,184.0,4550.0,male,2009,4.55,Heavy
107,Adelie,Biscoe,38.6,17.2,199.0,4750.0,female,2009,4.75,Heavy
108,Adelie,Biscoe,38.2,20.0,190.0,4900.0,male,2009,4.9,Heavy
109,Adelie,Biscoe,38.1,17.0,181.0,4175.0,female,2009,4.175,Heavy
110,Adelie,Biscoe,43.2,19.0,197.0,5775.0,male,2009,5.775,Heavy
111,Adelie,Biscoe,38.1,16.5,198.0,4825.0,female,2009,4.825,Heavy
112,Adelie,Biscoe,45.6,20.3,191.0,5600.0,male,2009,5.6,Heavy
113,Adelie,Biscoe,39.7,17.7,193.0,4200.0,female,2009,4.2,Heavy
114,Adelie,Biscoe,42.2,19.5,197.0,5275.0,male,2009,5.275,Heavy
115,Adelie,Biscoe,39.6,20.7,191.0,4900.0,female,2009,4.9,Heavy
116,Adelie,Biscoe,42.7,18.3,196.0,5075.0,male,2009,5.075,Heavy
117,Adelie,Torgersen,38.6,17.0,188.0,3900.0,female,2009,3.9,light
118,Adelie,Torgersen,37.3,20.5,199.0,4775.0,male,2009,4.775,Heavy
119,Adelie,Torgersen,35.7,17.0,189.0,4350.0,female,2009,4.35,Heavy
120,Adelie,Torgersen,41.1,18.6,189.0,4325.0,male,2009,4.325,Heavy
121,Adelie,Torgersen,36.2,17.2,187.0,4150.0,female,2009,4.15,Heavy
122,Adelie,Torgersen,37.7,19.8,198.0,4500.0,male,2009,4.5,Heavy
123,Adelie,Torgersen,40.2,17.0,176.0,4450.0,female,2009,4.45,Heavy
124,Adelie,Torgersen,41.4,18.5,202.0,4875.0,male,2009,4.875,Heavy
125,Adelie,Torgersen,35.2,15.9,186.0,4050.0,female,2009,4.05,Heavy
126,Adelie,Torgersen,40.6,19.0,199.0,5000.0,male,2009,5.0,Heavy
127,Adelie,Torgersen,38.8,17.6,191.0,4275.0,female,2009,4.275,Heavy
128,Adelie,Torgersen,41.5,18.3,195.0,5300.0,male,2009,5.3,Heavy
129,Adelie,Torgersen,39.0,17.1,191.0,4050.0,female,2009,4.05,Heavy
130,Adelie,Torgersen,44.1,18.0,210.0,5000.0,male,2009,5.0,Heavy
131,Adelie,Torgersen,38.5,17.9,190.0,4325.0,female,2009,4.325,Heavy
132,Adelie,Torgersen,43.1,19.2,197.0,4500.0,male,2009,4.5,Heavy
133,Adelie,Dream,36.8,18.5,193.0,4500.0,female,2009,4.5,Heavy
134,Adelie,Dream,37.5,18.5,199.0,5475.0,male,2009,5.475,Heavy
135,Adelie,Dream,38.1,17.6,187.0,4425.0,female,2009,4.425,Heavy
136,Adelie,Dream,41.1,17.5,190.0,4900.0,male,2009,4.9,Heavy
137,Adelie,Dream,35.6,17.5,191.0,4175.0,female,2009,4.175,Heavy
138,Adelie,Dream,40.2,20.1,200.0,4975.0,male,2009,4.975,Heavy
139,Adelie,Dream,37.0,16.5,185.0,4400.0,female,2009,4.4,Heavy
140,Adelie,Dream,39.7,17.9,193.0,5250.0,male,2009,5.25,Heavy
141,Adelie,Dream,40.2,17.1,193.0,4400.0,female,2009,4.4,Heavy
142,Adelie,Dream,40.6,17.2,187.0,4475.0,male,2009,4.475,Heavy
143,Adelie,Dream,32.1,15.5,188.0,4050.0,female,2009,4.05,Heavy
144,Adelie,Dream,40.7,17.0,190.0,4725.0,male,2009,4.725,Heavy
145,Adelie,Dream,37.3,16.8,192.0,4000.0,female,2009,4.0,light
146,Adelie,Dream,39.0,18.7,185.0,4650.0,male,2009,4.65,Heavy
147,Adelie,Dream,39.2,18.6,190.0,5250.0,male,2009,5.25,Heavy
148,Adelie,Dream,36.6,18.4,184.0,4475.0,female,2009,4.475,Heavy
149,Adelie,Dream,36.0,17.8,195.0,4450.0,female,2009,4.45,Heavy
150,Adelie,Dream,37.8,18.1,193.0,4750.0,male,2009,4.75,Heavy
151,Adelie,Dream,36.0,17.1,187.0,4700.0,female,2009,4.7,Heavy
152,Adelie,Dream,41.5,18.5,201.0,5000.0,male,2009,5.0,Heavy
153,Gentoo,Biscoe,46.1,13.2,211.0,5500.0,female,2007,5.5,Heavy
154,Gentoo,Biscoe,50.0,16.3,230.0,6700.0,male,2007,6.7,Heavy
155,Gentoo,Biscoe,48.7,14.1,210.0,5450.0,female,2007,5.45,Heavy
156,Gentoo,Biscoe,50.0,15.2,218.0,6700.0,male,2007,6.7,Heavy
157,Gentoo,Biscoe,47.6,14.5,215.0,6400.0,male,2007,6.4,Heavy
158,Gentoo,Biscoe,46.5,13.5,210.0,5550.0,female,2007,5.55,Heavy
159,Gentoo,Biscoe,45.4,14.6,211.0,5800.0,female,2007,5.8,Heavy
160,Gentoo,Biscoe,46.7,15.3,219.0,6200.0,male,2007,6.2,Heavy
161,Gentoo,Biscoe,43.3,13.4,209.0,5400.0,female,2007,5.4,Heavy
162,Gentoo,Biscoe,46.8,15.4,215.0,6150.0,male,2007,6.15,Heavy
163,Gentoo,Biscoe,40.9,13.7,214.0,5650.0,female,2007,5.65,Heavy
164,Gentoo,Biscoe,49.0,16.1,216.0,6550.0,male,2007,6.55,Heavy
165,Gentoo,Biscoe,45.5,13.7,214.0,5650.0,female,2007,5.65,Heavy
166,Gentoo,Biscoe,48.4,14.6,213.0,6850.0,male,2007,6.85,Heavy
167,Gentoo,Biscoe,45.8,14.6,210.0,5200.0,female,2007,5.2,Heavy
168,Gentoo,Biscoe,49.3,15.7,217.0,6850.0,male,2007,6.85,Heavy
169,Gentoo,Biscoe,42.0,13.5,210.0,5150.0,female,2007,5.15,Heavy
170,Gentoo,Biscoe,49.2,15.2,221.0,7300.0,male,2007,7.3,Heavy
171,Gentoo,Biscoe,46.2,14.5,209.0,5800.0,female,2007,5.8,Heavy
172,Gentoo,Biscoe,48.7,15.1,222.0,6350.0,male,2007,6.35,Heavy
173,Gentoo,Biscoe,50.2,14.3,218.0,6700.0,male,2007,6.7,Heavy
174,Gentoo,Biscoe,45.1,14.5,215.0,6000.0,female,2007,6.0,Heavy
175,Gentoo,Biscoe,46.5,14.5,213.0,5400.0,female,2007,5.4,Heavy
176,Gentoo,Biscoe,46.3,15.8,215.0,6050.0,male,2007,6.05,Heavy
177,Gentoo,Biscoe,42.9,13.1,215.0,6000.0,female,2007,6.0,Heavy
178,Gentoo,Biscoe,46.1,15.1,215.0,6100.0,male,2007,6.1,Heavy
179,Gentoo,Biscoe,44.5,14.3,216.0,5100.0, ,2007,5.1,Heavy
180,Gentoo,Biscoe,47.8,15.0,215.0,6650.0,male,2007,6.65,Heavy
181,Gentoo,Biscoe,48.2,14.3,210.0,5600.0,female,2007,5.6,Heavy
182,Gentoo,Biscoe,50.0,15.3,220.0,6550.0,male,2007,6.55,Heavy
183,Gentoo,Biscoe,47.3,15.3,222.0,6250.0,male,2007,6.25,Heavy
184,Gentoo,Biscoe,42.8,14.2,209.0,5700.0,female,2007,5.7,Heavy
185,Gentoo,Biscoe,45.1,14.5,207.0,6050.0,female,2007,6.05,Heavy
186,Gentoo,Biscoe,59.6,17.0,230.0,7050.0,male,2007,7.05,Heavy
187,Gentoo,Biscoe,49.1,14.8,220.0,6150.0,female,2008,6.15,Heavy
188,Gentoo,Biscoe,48.4,16.3,220.0,6400.0,male,2008,6.4,Heavy
189,Gentoo,Biscoe,42.6,13.7,213.0,5950.0,female,2008,5.95,Heavy
190,Gentoo,Biscoe,44.4,17.3,219.0,6250.0,male,2008,6.25,Heavy
191,Gentoo,Biscoe,44.0,13.6,208.0,5350.0,female,2008,5.35,Heavy
192,Gentoo,Biscoe,48.7,15.7,208.0,6350.0,male,2008,6.35,Heavy
193,Gentoo,Biscoe,42.7,13.7,208.0,4950.0,female,2008,4.95,Heavy
194,Gentoo,Biscoe,49.6,16.0,225.0,6700.0,male,2008,6.7,Heavy
195,Gentoo,Biscoe,45.3,13.7,210.0,5300.0,female,2008,5.3,Heavy
196,Gentoo,Biscoe,49.6,15.0,216.0,5750.0,male,2008,5.75,Heavy
197,Gentoo,Biscoe,50.5,15.9,222.0,6550.0,male,2008,6.55,Heavy
198,Gentoo,Biscoe,43.6,13.9,217.0,5900.0,female,2008,5.9,Heavy
199,Gentoo,Biscoe,45.5,13.9,210.0,5200.0,female,2008,5.2,Heavy
200,Gentoo,Biscoe,50.5,15.9,225.0,6400.0,male,2008,6.4,Heavy
201,Gentoo,Biscoe,44.9,13.3,213.0,6100.0,female,2008,6.1,Heavy
202,Gentoo,Biscoe,45.2,15.8,215.0,6300.0,male,2008,6.3,Heavy
203,Gentoo,Biscoe,46.6,14.2,210.0,5850.0,female,2008,5.85,Heavy
204,Gentoo,Biscoe,48.5,14.1,220.0,6300.0,male,2008,6.3,Heavy
205,Gentoo,Biscoe,45.1,14.4,210.0,5400.0,female,2008,5.4,Heavy
206,Gentoo,Biscoe,50.1,15.0,225.0,6000.0,male,2008,6.0,Heavy
207,Gentoo,Biscoe,46.5,14.4,217.0,5900.0,female,2008,5.9,Heavy
208,Gentoo,Biscoe,45.0,15.4,220.0,6050.0,male,2008,6.05,Heavy
209,Gentoo,Biscoe,43.8,13.9,208.0,5300.0,female,2008,5.3,Heavy
210,Gentoo,Biscoe,45.5,15.0,220.0,6000.0,male,2008,6.0,Heavy
211,Gentoo,Biscoe,43.2,14.5,208.0,5450.0,female,2008,5.45,Heavy
212,Gentoo,Biscoe,50.4,15.3,224.0,6550.0,male,2008,6.55,Heavy
213,Gentoo,Biscoe,45.3,13.8,208.0,5200.0,female,2008,5.2,Heavy
214,Gentoo,Biscoe,46.2,14.9,221.0,6300.0,male,2008,6.3,Heavy
215,Gentoo,Biscoe,45.7,13.9,214.0,5400.0,female,2008,5.4,Heavy
216,Gentoo,Biscoe,54.3,15.7,231.0,6650.0,male,2008,6.65,Heavy
217,Gentoo,Biscoe,45.8,14.2,219.0,5700.0,female,2008,5.7,Heavy
218,Gentoo,Biscoe,49.8,16.8,230.0,6700.0,male,2008,6.7,Heavy
219,Gentoo,Biscoe,46.2,14.4,214.0,5650.0, ,2008,5.65,Heavy
220,Gentoo,Biscoe,49.5,16.2,229.0,6800.0,male,2008,6.8,Heavy
221,Gentoo,Biscoe,43.5,14.2,220.0,5700.0,female,2008,5.7,Heavy
222,Gentoo,Biscoe,50.7,15.0,223.0,6550.0,male,2008,6.55,Heavy
223,Gentoo,Biscoe,47.7,15.0,216.0,5750.0,female,2008,5.75,Heavy
224,Gentoo,Biscoe,46.4,15.6,221.0,6000.0,male,2008,6.0,Heavy
225,Gentoo,Biscoe,48.2,15.6,221.0,6100.0,male,2008,6.1,Heavy
226,Gentoo,Biscoe,46.5,14.8,217.0,6200.0,female,2008,6.2,Heavy
227,Gentoo,Biscoe,46.4,15.0,216.0,5700.0,female,2008,5.7,Heavy
228,Gentoo,Biscoe,48.6,16.0,230.0,6800.0,male,2008,6.8,Heavy
229,Gentoo,Biscoe,47.5,14.2,209.0,5600.0,female,2008,5.6,Heavy
230,Gentoo,Biscoe,51.1,16.3,220.0,7000.0,male,2008,7.0,Heavy
231,Gentoo,Biscoe,45.2,13.8,215.0,5750.0,female,2008,5.75,Heavy
232,Gentoo,Biscoe,45.2,16.4,223.0,6950.0,male,2008,6.95,Heavy
233,Gentoo,Biscoe,49.1,14.5,212.0,5625.0,female,2009,5.625,Heavy
234,Gentoo,Biscoe,52.5,15.6,221.0,6450.0,male,2009,6.45,Heavy
235,Gentoo,Biscoe,47.4,14.6,212.0,5725.0,female,2009,5.725,Heavy
236,Gentoo,Biscoe,50.0,15.9,224.0,6350.0,male,2009,6.35,Heavy
237,Gentoo,Biscoe,44.9,13.8,212.0,5750.0,female,2009,5.75,Heavy
238,Gentoo,Biscoe,50.8,17.3,228.0,6600.0,male,2009,6.6,Heavy
239,Gentoo,Biscoe,43.4,14.4,218.0,5600.0,female,2009,5.6,Heavy
240,Gentoo,Biscoe,51.3,14.2,218.0,6300.0,male,2009,6.3,Heavy
241,Gentoo,Biscoe,47.5,14.0,212.0,5875.0,female,2009,5.875,Heavy
242,Gentoo,Biscoe,52.1,17.0,230.0,6550.0,male,2009,6.55,Heavy
243,Gentoo,Biscoe,47.5,15.0,218.0,5950.0,female,2009,5.95,Heavy
244,Gentoo,Biscoe,52.2,17.1,228.0,6400.0,male,2009,6.4,Heavy
245,Gentoo,Biscoe,45.5,14.5,212.0,5750.0,female,2009,5.75,Heavy
246,Gentoo,Biscoe,49.5,16.1,224.0,6650.0,male,2009,6.65,Heavy
247,Gentoo,Biscoe,44.5,14.7,214.0,5850.0,female,2009,5.85,Heavy
248,Gentoo,Biscoe,50.8,15.7,226.0,6200.0,male,2009,6.2,Heavy
249,Gentoo,Biscoe,49.4,15.8,216.0,5925.0,male,2009,5.925,Heavy
250,Gentoo,Biscoe,46.9,14.6,222.0,5875.0,female,2009,5.875,Heavy
251,Gentoo,Biscoe,48.4,14.4,203.0,5625.0,female,2009,5.625,Heavy
252,Gentoo,Biscoe,51.1,16.5,225.0,6250.0,male,2009,6.25,Heavy
253,Gentoo,Biscoe,48.5,15.0,219.0,5850.0,female,2009,5.85,Heavy
254,Gentoo,Biscoe,55.9,17.0,228.0,6600.0,male,2009,6.6,Heavy
255,Gentoo,Biscoe,47.2,15.5,215.0,5975.0,female,2009,5.975,Heavy
256,Gentoo,Biscoe,49.1,15.0,228.0,6500.0,male,2009,6.5,Heavy
257,Gentoo,Biscoe,47.3,13.8,216.0,5725.0, ,2009,5.725,Heavy
258,Gentoo,Biscoe,46.8,16.1,215.0,6500.0,male,2009,6.5,Heavy
259,Gentoo,Biscoe,41.7,14.7,210.0,5700.0,female,2009,5.7,Heavy
260,Gentoo,Biscoe,53.4,15.8,219.0,6500.0,male,2009,6.5,Heavy
261,Gentoo,Biscoe,43.3,14.0,208.0,5575.0,female,2009,5.575,Heavy
262,Gentoo,Biscoe,48.1,15.1,209.0,6500.0,male,2009,6.5,Heavy
263,Gentoo,Biscoe,50.5,15.2,216.0,6000.0,female,2009,6.0,Heavy
264,Gentoo,Biscoe,49.8,15.9,229.0,6950.0,male,2009,6.95,Heavy
265,Gentoo,Biscoe,43.5,15.2,213.0,5650.0,female,2009,5.65,Heavy
266,Gentoo,Biscoe,51.5,16.3,230.0,6500.0,male,2009,6.5,Heavy
267,Gentoo,Biscoe,46.2,14.1,217.0,5375.0,female,2009,5.375,Heavy
268,Gentoo,Biscoe,55.1,16.0,230.0,6850.0,male,2009,6.85,Heavy
269,Gentoo,Biscoe,44.5,15.7,217.0,5875.0, ,2009,5.875,Heavy
270,Gentoo,Biscoe,48.8,16.2,222.0,7000.0,male,2009,7.0,Heavy
271,Gentoo,Biscoe,47.2,13.7,214.0,5925.0,female,2009,5.925,Heavy
272,Gentoo,Biscoe, , , ,4201.754385964912, ,2009,4.201754385964912,Heavy
273,Gentoo,Biscoe,46.8,14.3,215.0,5850.0,female,2009,5.85,Heavy
274,Gentoo,Biscoe,50.4,15.7,222.0,6750.0,male,2009,6.75,Heavy
275,Gentoo,Biscoe,45.2,14.8,212.0,6200.0,female,2009,6.2,Heavy
276,Gentoo,Biscoe,49.9,16.1,213.0,6400.0,male,2009,6.4,Heavy
277,Chinstrap,Dream,46.5,17.9,192.0,4500.0,female,2007,4.5,Heavy
278,Chinstrap,Dream,50.0,19.5,196.0,4900.0,male,2007,4.9,Heavy
279,Chinstrap,Dream,51.3,19.2,193.0,4650.0,male,2007,4.65,Heavy
280,Chinstrap,Dream,45.4,18.7,188.0,4525.0,female,2007,4.525,Heavy
281,Chinstrap,Dream,52.7,19.8,197.0,4725.0,male,2007,4.725,Heavy
282,Chinstrap,Dream,45.2,17.8,198.0,4950.0,female,2007,4.95,Heavy
283,Chinstrap,Dream,46.1,18.2,178.0,4250.0,female,2007,4.25,Heavy
284,Chinstrap,Dream,51.3,18.2,197.0,4750.0,male,2007,4.75,Heavy
285,Chinstrap,Dream,46.0,18.9,195.0,5150.0,female,2007,5.15,Heavy
286,Chinstrap,Dream,51.3,19.9,198.0,4700.0,male,2007,4.7,Heavy
287,Chinstrap,Dream,46.6,17.8,193.0,4800.0,female,2007,4.8,Heavy
288,Chinstrap,Dream,51.7,20.3,194.0,4775.0,male,2007,4.775,Heavy
289,Chinstrap,Dream,47.0,17.3,185.0,4700.0,female,2007,4.7,Heavy
290,Chinstrap,Dream,52.0,18.1,201.0,5050.0,male,2007,5.05,Heavy
291,Chinstrap,Dream,45.9,17.1,190.0,4575.0,female,2007,4.575,Heavy
292,Chinstrap,Dream,50.5,19.6,201.0,5050.0,male,2007,5.05,Heavy
293,Chinstrap,Dream,50.3,20.0,197.0,4300.0,male,2007,4.3,Heavy
294,Chinstrap,Dream,58.0,17.8,181.0,4700.0,female,2007,4.7,Heavy
295,Chinstrap,Dream,46.4,18.6,190.0,4450.0,female,2007,4.45,Heavy
296,Chinstrap,Dream,49.2,18.2,195.0,5400.0,male,2007,5.4,Heavy
297,Chinstrap,Dream,42.4,17.3,181.0,4600.0,female,2007,4.6,Heavy
298,Chinstrap,Dream,48.5,17.5,191.0,4400.0,male,2007,4.4,Heavy
299,Chinstrap,Dream,43.2,16.6,187.0,3900.0,female,2007,3.9,light
300,Chinstrap,Dream,50.6,19.4,193.0,4800.0,male,2007,4.8,Heavy
301,Chinstrap,Dream,46.7,17.9,195.0,4300.0,female,2007,4.3,Heavy
302,Chinstrap,Dream,52.0,19.0,197.0,5150.0,male,2007,5.15,Heavy
303,Chinstrap,Dream,50.5,18.4,200.0,4400.0,female,2008,4.4,Heavy
304,Chinstrap,Dream,49.5,19.0,200.0,4800.0,male,2008,4.8,Heavy
305,Chinstrap,Dream,46.4,17.8,191.0,4700.0,female,2008,4.7,Heavy
306,Chinstrap,Dream,52.8,20.0,205.0,5550.0,male,2008,5.55,Heavy
307,Chinstrap,Dream,40.9,16.6,187.0,4200.0,female,2008,4.2,Heavy
308,Chinstrap,Dream,54.2,20.8,201.0,5300.0,male,2008,5.3,Heavy
309,Chinstrap,Dream,42.5,16.7,187.0,4350.0,female,2008,4.35,Heavy
310,Chinstrap,Dream,51.0,18.8,203.0,5100.0,male,2008,5.1,Heavy
311,Chinstrap,Dream,49.7,18.6,195.0,4600.0,male,2008,4.6,Heavy
312,Chinstrap,Dream,47.5,16.8,199.0,4900.0,female,2008,4.9,Heavy
313,Chinstrap,Dream,47.6,18.3,195.0,4850.0,female,2008,4.85,Heavy
314,Chinstrap,Dream,52.0,20.7,210.0,5800.0,male,2008,5.8,Heavy
315,Chinstrap,Dream,46.9,16.6,192.0,3700.0,female,2008,3.7,light
316,Chinstrap,Dream,53.5,19.9,205.0,5500.0,male,2008,5.5,Heavy
